Date,Bitcoin,Tether,Litecoin,Ardor,Ethereum,Lisk,Monero,Dash,Stratis,Waves,Bytecoin,BitShares,NEO,Zcash,NEM,Stellar,Ripple,Equities,Commodities,Gold,REIT
9/07/2017,2.52265283,1.01,10.99334812,13.34644121,29.6376989,13.77731336,3.210450966,17.42119323,59.13399099,16.94363868,26.82758621,41.93628056,48.64601913,4.981019187,44.4747093,7.859330915,36.65452261,1.074119841,0.889753567,0.947130656,1.007325672
10/07/2017,2.376528803,1.01,10.32815965,10.72158867,26.35985312,10.84880231,2.863994273,15.52983081,42.00171323,12.74161629,19.25862069,34.9456656,42.51239063,4.100061894,38.38604651,6.101168884,31.90405151,1.075116373,0.893644617,0.926402231,0.99660933
11/07/2017,2.34170064,1.01,10.05099778,9.687573732,24.16156671,9.650775057,2.658554044,14.75779163,41.17273205,11.70240645,18.37931034,30.50654483,38.07079758,3.680008253,34.68110465,5.851672713,29.05449121,1.074274857,0.904020752,0.947130656,0.996239809
12/07/2017,2.402852764,0.997456,10.80931264,11.08415258,28.24602203,11.71404421,2.891195419,16.01869991,60.1011357,13.78082613,29.87931034,36.02568535,46.74247925,4.358159686,38.90726744,7.217654172,32.24780151,1.0821231,0.90077821,0.954305933,1.008434196
13/07/2017,2.36184428,1,10.27272727,10.25688164,25.67074663,11.78060128,2.736578382,15.24844167,50.84417917,13.10308058,27.18965517,32.54186219,44.34542904,3.943676501,35.74215116,6.993550988,31.53407663,1.084151597,0.902723735,0.942347112,1.01028184
14/07/2017,2.237075917,1,9.490022173,9.059476996,24.43818849,10.38290282,2.539727989,14.34372217,45.45580149,10.97947786,25.77586207,29.95258088,39.05781826,3.66102744,34.15639535,6.578395808,29.95744347,1.089218409,0.912451362,0.928793963,1.020259024
15/07/2017,2.00220368,1,8.629711752,7.501376327,20.88861689,9.31798971,2.29706514,12.47907391,44.07416618,9.217339442,22.06896552,25.34699926,35.46224293,3.302455127,32.40639535,7.101168884,26.78847362,1.089218409,0.912451362,0.928793963,1.020259024
16/07/2017,1.93304819,0.999161,9.070953437,7.294632324,19.26070991,9.31798971,2.106657122,11.81121995,39.79109674,8.901058187,19.68965517,23.43245246,35.53274441,3.424386218,28.28313953,6.3095526,23.25,1.089218409,0.912451362,0.928793963,1.020259024
17/07/2017,2.23213767,0.996888,9.461197339,9.035981125,23.6744186,11.71404421,2.493199714,13.69991095,53.60744978,11.38612519,23.86206897,26.4097308,40.67935223,3.76542191,38.8747093,7.502619911,27.9348304,1.089160831,0.907911803,0.937563728,1.028019005
18/07/2017,2.322759008,0.998216,9.822616408,9.705367676,28.68910649,11.91371542,2.604151754,14.07569012,57.75235569,12.78679932,23.87931034,30.96764633,42.44188916,4.112234372,38.46715116,7.523579202,29.63536432,1.089811899,0.911154345,0.949522388,1.026171361
19/07/2017,2.277232979,1,9.059866962,9.870723555,24.44308446,10.91535937,2.509663565,13.8601959,53.19295919,11.92832163,22.34482759,27.3805878,41.45486848,3.754693625,36.86773256,6.955259976,26.4428392,1.095667079,0.922827497,0.950319633,1.033931457
20/07/2017,2.822313263,0.986866,9.982261641,12.69101455,27.81640147,12.97862853,2.884753042,16.79341051,74.33197933,14.68448686,24.01724138,33.86638676,50.83156492,4.269445018,44.21133721,7.601370415,29.56893844,1.095498775,0.918936446,0.951116877,1.028758085
21/07/2017,2.672222612,0.997202,10.14634146,12.68039717,26.72093023,12.57928611,2.887616321,16.55031167,85.93771588,14.63930382,23.84482759,36.11978266,52.31209594,4.163400041,41.8,7.739218057,28.6758794,1.095095734,0.904020752,0.959089397,1.028019005
22/07/2017,2.814820751,0.9932,10.32372506,16.42607157,28.08812729,15.17501181,3.200429492,17.39180766,93.67487358,17.62138423,27.0862069,45.64781428,60.77227318,4.458427894,51.38604651,9.220878678,30.3580402,1.095095734,0.904020752,0.959089397,1.028019005
23/07/2017,2.734967396,0.997761,9.76940133,14.25855289,27.65605875,14.04354163,3.054402291,17.01068566,85.24689823,16.49180832,29.0862069,42.28945419,60.41976579,4.423767279,48.29534884,8.774284563,30.63096734,1.095095734,0.904020752,0.959089397,1.028019005
24/07/2017,2.759468312,0.993997,9.847006652,13.43895006,27.50428397,14.7756694,3.262705798,18.16740873,79.72035701,15.90442884,27.65517241,41.99407261,59.64424955,4.266969259,49.31511628,9.111245466,30.15106784,1.093930898,0.905317769,0.958292153,1.026540998
25/07/2017,2.580789919,0.999802,9.365853659,10.84880063,25.30110159,13.57764215,2.911954188,17.41050757,66.59482163,13.14826362,23.10344828,33.32551247,51.8185856,3.800082525,45.99011628,7.477226925,27.96859296,1.097128659,0.918287938,0.936766484,1.028019005
